"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.220802083E2,-6.072871399E-1,-9.101972351E0,-4.113446045E-1,9.131478672E0
3.220902413E2,2.800675964E-1,-8.341553650E0,-8.761280823E-1,8.392112700E0
3.221002743E2,8.930429077E-1,-8.001610565E0,-8.800199890E-1,8.099242709E0
3.221103073E2,1.173409882E0,-7.827223206E0,-5.119354248E-1,7.931228892E0
3.221203393E2,1.321002960E0,-7.565717010E0,-1.236428833E-1,7.681172454E0
3.221303723E2,1.450633392E0,-7.523355103E0,2.227368164E-1,7.665169335E0
3.221404053E2,1.630409546E0,-7.430248718E0,5.044509888E-1,7.623732819E0
3.221504383E2,1.850002899E0,-7.234156494E0,6.924600220E-1,7.499002053E0
3.221604713E2,1.976639557E0,-7.167545013E0,8.262817383E-1,7.480878756E0
3.221705033E2,2.028431854E0,-7.209008789E0,8.867559814E-1,7.541265125E0
3.221805363E2,2.035018158E0,-7.445816345E0,9.488768005E-1,7.777007595E0
3.221905693E2,1.979633331E0,-7.936795349E0,1.026864624E0,8.244156688E0
3.222006023E2,2.050436096E0,-8.560099182E0,1.100212097E0,8.870741392E0
3.222106343E2,2.253563690E0,-9.202862549E0,1.184636536E0,9.548538743E0
3.222206673E2,2.487377472E0,-9.766440582E0,1.271605682E0,1.015811938E1
3.222307003E2,2.675536194E0,-1.007375153E1,1.354982300E0,1.051070601E1
3.222407333E2,2.781366119E0,-1.005863297E1,1.403182068E0,1.053000544E1
3.222507663E2,2.926414490E0,-9.839937744E0,1.403032379E0,1.036131152E1
3.222607983E2,3.111579437E0,-9.598789215E0,1.415905609E0,1.018938024E1
3.222708313E2,3.303480377E0,-9.437873840E0,1.318009186E0,1.008581149E1
3.222808643E2,3.445385284E0,-9.483229523E0,9.469308472E-1,1.013405151E1
3.222908973E2,3.600462799E0,-9.676627350E0,-7.185058594E-3,1.032475185E1
3.223009293E2,4.351900177E0,-1.014021332E1,-3.950584717E0,1.172049832E1
3.223109623E2,4.853207703E0,-1.085093536E1,-9.267378387E0,1.507251556E1
3.223209953E2,3.281176758E0,-1.111274094E1,-8.651109924E0,1.446031932E1
3.223310283E2,1.059496765E0,-1.087608307E1,-3.132685547E0,1.136773658E1
3.223410603E2,1.907034302E-1,-1.079420334E1,6.173162842E-1,1.081352269E1
3.223510933E2,-4.105961609E-1,-1.104313568E1,1.864073639E0,1.120688206E1
3.223611263E2,-9.349557495E-1,-1.204889420E1,2.634222107E0,1.236887706E1
3.223711593E2,-1.548080750E0,-1.387853943E1,3.785028992E0,1.446847798E1
3.223811923E2,-2.224374390E0,-1.611623611E1,4.010759583E0,1.675610636E1
3.223912243E2,-3.478915558E0,-1.786699539E1,2.270478516E0,1.834359426E1
3.224012573E2,-5.715863800E0,-1.863549728E1,-4.513713684E0,2.000816007E1
3.224112903E2,-6.520889740E0,-1.802162384E1,-1.517334686E1,2.444445507E1
3.224213233E2,-2.667602692E0,-1.608435242E1,-1.814257233E1,2.439211814E1
