"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.576123958E0,-4.144880676E-1,3.212020569E0,8.208480377E0,8.824286181E0
1.586155958E0,-4.248165894E-1,3.337908783E0,8.092022552E0,8.763728269E0
1.596187958E0,-4.589456177E-1,3.515140228E0,8.094567261E0,8.836790200E0
1.606218959E0,-5.771997070E-1,3.695964203E0,8.132438507E0,8.951528750E0
1.616250958E0,-7.840695190E-1,3.833677826E0,8.175548859E0,9.063743698E0
1.626282958E0,-9.951306152E-1,3.955524445E0,8.317753143E0,9.263988122E0
1.636314958E0,-1.141226807E0,4.008214874E0,8.610394592E0,9.565933312E0
1.646346958E0,-1.267264709E0,3.996688843E0,8.927734680E0,9.863261533E0
1.656378958E0,-1.377435608E0,3.949985962E0,9.224268036E0,1.012851612E1
1.666410958E0,-1.451381836E0,3.834426270E0,9.426946564E0,1.027991515E1
1.676442958E0,-1.505269775E0,3.753294983E0,9.467512207E0,1.029499139E1
1.686474958E0,-1.514999542E0,3.683090973E0,9.576485596E0,1.037156975E1
1.696505958E0,-1.482517090E0,3.627257080E0,9.668843536E0,1.043270752E1
1.706537958E0,-1.501677246E0,3.559597778E0,9.641899567E0,1.038710730E1
1.716569958E0,-1.563049622E0,3.455414429E0,9.464518433E0,1.019608367E1
1.726601959E0,-1.618135071E0,3.286565552E0,9.135352936E0,9.842486855E0
1.736633958E0,-1.480571136E0,3.137026520E0,8.734037476E0,9.397682528E0
1.746665958E0,-1.252744904E0,3.024610291E0,8.286468201E0,8.909724600E0
1.756697958E0,-1.147962799E0,2.925666046E0,7.798183594E0,8.407675527E0
1.766729958E0,-1.089883575E0,2.912942505E0,7.354057159E0,7.984687655E0
1.776761958E0,-1.100960541E0,2.904410248E0,6.892566833E0,7.560105195E0
1.786794208E0,-9.750723267E-1,2.916385345E0,6.390061798E0,7.091470885E0
1.796826208E0,-8.211923218E-1,2.873574371E0,5.823190613E0,6.545329282E0
1.806858208E0,-5.063969421E-1,2.751128998E0,5.544619904E0,6.210310661E0
1.816890209E0,6.721023560E-2,2.492915955E0,5.463189240E0,6.005462833E0
1.826922208E0,4.915777588E-1,2.097288666E0,5.500761108E0,5.907507191E0
1.836954208E0,5.490582275E-1,1.654958496E0,5.739364929E0,5.998388313E0
1.846986208E0,3.912863159E-1,1.287472687E0,6.144123230E0,6.289748895E0
1.857018208E0,-8.367599487E-2,1.090781708E0,6.623426514E0,6.713165065E0
1.867049208E0,-8.375083923E-1,1.322350159E0,7.392227783E0,7.556127437E0
1.877081208E0,-7.750881958E-1,2.087558899E0,8.279732208E0,8.573950624E0
1.887113208E0,-5.484594727E-1,2.695594482E0,8.754544830E0,9.176551236E0
1.897145208E0,-1.065933380E0,2.987936554E0,8.661887512E0,9.224547365E0
1.907177208E0,-2.222727814E0,2.737507324E0,8.680748291E0,9.369624121E0
1.917209208E0,-3.381318512E0,2.313289490E0,9.068741455E0,9.951215741E0
1.927241208E0,-4.127516785E0,2.095791779E0,9.734856262E0,1.077943247E1
1.937273209E0,-4.410578156E0,2.136507111E0,1.070483917E1,1.177333615E1
1.947304208E0,-3.936364288E0,2.357148285E0,1.188094345E1,1.273608767E1
1.957336208E0,-2.526895294E0,2.390528870E0,1.308414139E1,1.353863302E1
1.967368208E0,-1.728904724E-1,1.891915741E0,1.470736588E1,1.482955992E1
1.977400208E0,2.316432953E0,8.000862122E-1,1.665002609E1,1.682941973E1
1.987432208E0,4.790937195E0,-3.462300110E-1,1.820379501E1,1.882687195E1
1.997464208E0,6.421496429E0,-1.240470428E0,1.944800766E1,2.051826955E1
2.007496208E0,6.972201233E0,-1.858235779E0,2.101000946E1,2.221452515E1
2.017528208E0,6.799310760E0,-2.622097321E0,2.293111450E1,2.406121430E1
2.027560208E0,5.915847931E0,-3.500919800E0,2.384735916E1,2.481834473E1
2.037591208E0,4.630470886E0,-4.076921997E0,2.271152115E1,2.353456493E1
2.047623208E0,3.391647034E0,-4.244423676E0,1.997491196E1,2.070061617E1
2.057655209E0,2.542313232E0,-3.683989105E0,1.633403320E1,1.693622665E1
2.067687208E0,2.641856232E0,-2.395318909E0,1.287248154E1,1.335731028E1
2.077719208E0,3.386258240E0,-9.954299927E-1,1.024439667E1,1.083537211E1
