"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.793114875E0,1.233090775E1,-4.174968109E0,1.720372467E0,1.313169166E1
1.803136875E0,1.112456635E1,-5.029391327E0,1.967508545E0,1.236615718E1
1.813159875E0,1.070364166E1,-5.905220032E0,2.246977386E0,1.242933932E1
1.823182875E0,1.075333832E1,-5.968238983E0,2.722538452E0,1.259628426E1
1.833204875E0,1.077803696E1,-5.638325043E0,2.517764282E0,1.242159116E1
1.843227875E0,1.090811646E1,-5.243146820E0,2.343975677E0,1.232768491E1
1.853250875E0,1.093835358E1,-4.828658752E0,2.243534546E0,1.216540059E1
1.863272875E0,1.106020020E1,-4.551884308E0,2.030228119E0,1.213134392E1
1.873295875E0,1.126123215E1,-4.398603058E0,1.805844727E0,1.222391646E1
1.883318875E0,1.148980682E1,-4.248165894E0,1.573527832E0,1.235065035E1
1.893340875E0,1.159623550E1,-4.074077911E0,1.338366852E0,1.236373789E1
1.903363875E0,1.164278870E1,-3.908971252E0,1.059197388E0,1.232706307E1
1.913386875E0,1.167347488E1,-3.763623505E0,8.400531006E-1,1.229392399E1
1.923408875E0,1.170071823E1,-3.631298676E0,7.650590515E-1,1.227511517E1
1.933431875E0,1.167811523E1,-3.551364899E0,7.882608032E-1,1.223159528E1
1.943454875E0,1.166404449E1,-3.474125519E0,7.785310364E-1,1.219531027E1
1.953476875E0,1.162377823E1,-3.433410187E0,7.912545776E-1,1.214605325E1
1.963499875E0,1.160910873E1,-3.404669952E0,8.765771484E-1,1.212978032E1
1.973522875E0,1.157782379E1,-3.430416412E0,9.931846619E-1,1.211611226E1
1.983544875E0,1.153082153E1,-3.525468750E0,1.166973267E0,1.211406628E1
1.993567875E0,1.154115005E1,-3.637136536E0,1.457070007E0,1.218810731E1
2.003590875E0,1.149789001E1,-3.704047394E0,1.801952820E0,1.221345471E1
2.013612875E0,1.128727798E1,-3.673510895E0,2.116299133E0,1.205719904E1
2.023635875E0,1.098430801E1,-3.519780579E0,2.364183655E0,1.177426185E1
2.033658875E0,1.064631088E1,-3.268602905E0,2.460732880E0,1.140538937E1
2.043680875E0,1.030142807E1,-3.005150757E0,2.384990387E0,1.099265803E1
2.053703875E0,1.008662476E1,-2.917882233E0,2.344724121E0,1.075879951E1
2.063726875E0,9.875114594E0,-3.110681305E0,2.312840424E0,1.060865011E1
2.073748875E0,9.689799957E0,-3.433559875E0,2.150877228E0,1.050275342E1
2.083771875E0,9.478140106E0,-3.738176422E0,2.005379791E0,1.038415384E1
2.093794875E0,9.334289246E0,-4.017196198E0,2.001188507E0,1.035719926E1
2.103816875E0,9.199419708E0,-4.200864258E0,2.145338745E0,1.033823301E1
2.113839875E0,9.037306824E0,-4.435576172E0,2.155667267E0,1.029534613E1
2.123862875E0,8.920848999E0,-4.660857697E0,2.077829132E0,1.027728151E1
2.133884875E0,8.785380707E0,-4.711901550E0,1.913470917E0,1.015117241E1
2.143907875E0,8.631949768E0,-4.809348907E0,1.794019318E0,1.004285313E1
2.153930875E0,8.667725372E0,-5.145699463E0,1.693877563E0,1.022139459E1
2.163952875E0,8.398435364E0,-5.344186707E0,1.498533783E0,1.006675974E1
2.173975875E0,8.253386993E0,-5.399272156E0,1.224004669E0,9.938245524E0
2.183998875E0,8.086783447E0,-5.381309509E0,8.827143860E-1,9.753652815E0
2.194020875E0,7.911348267E0,-5.280419312E0,5.637277222E-1,9.528381208E0
2.204043875E0,7.859256592E0,-5.231920166E0,3.529660034E-1,9.448041480E0
2.214066875E0,7.963140564E0,-5.249733124E0,1.347198486E-1,9.538839287E0
2.224088875E0,8.043673096E0,-5.303621063E0,-4.939727783E-3,9.634785813E0
2.234111875E0,8.093220062E0,-5.404960327E0,-1.591191101E-1,9.733402591E0
2.244134875E0,8.072712708E0,-5.461542664E0,-3.429368591E-1,9.752678833E0
2.254156875E0,7.947423248E0,-5.490432587E0,-6.973997498E-1,9.684665853E0
2.264179875E0,7.720644836E0,-5.466632080E0,-1.027762756E0,9.515709079E0
2.274202875E0,7.341183929E0,-5.500012665E0,-1.325194244E0,9.268185399E0
2.284224875E0,7.011269989E0,-5.687422943E0,-1.672322388E0,9.181576595E0
2.294247875E0,6.863527222E0,-5.818550262E0,-1.984123993E0,9.214134854E0
2.304270875E0,6.586902466E0,-5.785469055E0,-2.254162445E0,9.052081783E0
2.314292875E0,6.358178101E0,-5.737119598E0,-2.592758331E0,8.947813465E0
2.324315875E0,6.228098602E0,-5.660778351E0,-2.957400055E0,8.920753265E0
2.334338875E0,6.243965607E0,-5.516328735E0,-3.429667969E0,9.009972896E0
2.344360875E0,6.324947205E0,-5.261558533E0,-3.853736115E0,9.085165787E0
2.354383875E0,6.170318756E0,-5.064119110E0,-4.037254486E0,8.945253473E0
2.364406875E0,6.416556702E0,-4.960833893E0,-4.256698151E0,9.159779035E0
2.374428875E0,6.480773163E0,-5.028792572E0,-4.296066284E0,9.259879105E0
2.384451875E0,5.749543762E0,-5.596262512E0,-4.014651489E0,8.971779877E0
2.394474875E0,6.287674713E0,-5.674849091E0,-3.835324402E0,9.297767408E0
2.404496875E0,7.311844940E0,-5.157375183E0,-3.933669891E0,9.774218845E0
2.414519875E0,7.517517242E0,-4.938679962E0,-3.755989380E0,9.747362796E0
2.424542875E0,8.070916443E0,-4.706063690E0,-3.955374756E0,1.014552695E1
2.434564875E0,8.999136200E0,-4.173920288E0,-4.171674957E0,1.076145598E1
2.444587875E0,1.042626846E1,-3.635190582E0,-4.437073059E0,1.189997067E1
2.454610875E0,1.177646072E1,-3.047961731E0,-4.798271942E0,1.307663992E1
2.464632875E0,1.261232254E1,-2.655926971E0,-5.503455505E0,1.401472977E1
2.474655875E0,1.334474945E1,-2.367925873E0,-5.650150452E0,1.468378735E1
2.484678875E0,1.231099915E1,-2.800975342E0,-4.558769989E0,1.342343274E1
2.494700875E0,9.003926239E0,-3.808829498E0,-3.270249481E0,1.030885064E1
2.504723875E0,7.512278137E0,-4.157753906E0,-3.385360107E0,9.229404283E0
2.514746875E0,6.618187408E0,-4.448898468E0,-3.256627808E0,8.613868285E0
2.524768875E0,7.637118530E0,-4.961432648E0,-2.108215942E0,9.348046204E0
2.534791875E0,8.667425995E0,-4.793781281E0,-7.716453552E-1,9.934789826E0
2.544814875E0,9.461674347E0,-4.430935822E0,1.582209778E-1,1.044899553E1
2.554836875E0,9.808952179E0,-4.236490173E0,9.261241150E-1,1.072478894E1
2.564859875E0,9.863588562E0,-3.988905029E0,1.337618408E0,1.072338406E1
2.574882875E0,9.670041046E0,-3.573967896E0,1.335223389E0,1.039546833E1
2.584904875E0,8.426127777E0,-3.083288269E0,8.473878479E-1,9.012455938E0
2.594928333E0,8.687933350E0,-3.047812042E0,1.170565796E-1,9.207770978E0
2.604951333E0,8.836723938E0,-3.083887024E0,2.224374390E-1,9.362025825E0
2.614973333E0,8.560548248E0,-2.990481262E0,5.029541016E-2,9.067992839E0
2.624996333E0,8.310867462E0,-2.927462311E0,-1.567240906E-1,8.812781399E0
2.635019333E0,8.058941345E0,-2.959944763E0,-2.697390747E-1,8.589561559E0
2.645041333E0,8.016130371E0,-3.094963989E0,-4.764591980E-1,8.606053776E0
2.655064333E0,7.813451843E0,-3.141068115E0,-5.043013000E-1,8.436270409E0
2.665087333E0,7.655081177E0,-3.086731110E0,-5.060975647E-1,8.269480728E0
2.675109333E0,7.607031097E0,-3.010240173E0,-5.806425476E-1,8.201561668E0
2.685132333E0,7.648943939E0,-2.965034180E0,-6.001020813E-1,8.225441847E0
2.695155333E0,7.745942230E0,-2.967129822E0,-5.942642212E-1,8.316046559E0
2.705178333E0,7.791297913E0,-2.988684998E0,-5.848338318E-1,8.365320782E0
2.715200333E0,7.902366943E0,-3.061882782E0,-6.382727051E-1,8.498818831E0
2.725223333E0,7.992180176E0,-3.106639709E0,-6.764433289E-1,8.601379530E0
2.735245333E0,7.907156982E0,-3.114423523E0,-6.294410706E-1,8.521675979E0
